,Name,Type,Columns
30,25. Thinking about using [list app] for your shopping lists: What do you DISLIKE about this app?,Open Ended,"Q31: _ Likes and dislikes
NEG: What do you dislike about this app?"
31,26. Is there anything you would change or add to [list app] for shopping lists?,Open Ended,Q32: _ F - Changes and additions
32,"27. How much time do you spend per week looking for ways to save money on groceries (couponing, reading weekly ad circulars, comparing prices, etc.)?",Multiple Choice,Q33: _ Time spent saving money
33,"28. While grocery shopping, I buy:",Multiple Answer,"['Q35: _ Behavior\nOption 1: ingredients for specific recipes', 'Q35: _ Behavior\nOption 2: products that I know I can make something out of', 'Q35: _ Behavior\nOption 3: the same things every time']"
34,"29. While grocery shopping, what do you do more often?",Multiple Choice,Q36: _ Behavior in the supermarket
35,30. What do you typically purchase?,Multiple Answer,"['Q37: _ What do you typically purchase at Walmart?\nOption 1: Fresh produce', 'Q37: _ What do you typically purchase at Walmart?\nOption 2: Snacks', 'Q37: _ What do you typically purchase at Walmart?\nOption 3: Dairy', 'Q37: _ What do you typically purchase at Walmart?\nOption 4: Deli items', 'Q37: _ What do you typically purchase at Walmart?\nOption 6: Meat & seafood', 'Q37: _ What do you typically purchase at Walmart?\nOption 7: Household supplies', 'Q37: _ What do you typically purchase at Walmart?\nOption 8: Pet supplies', 'Q37: _ What do you typically purchase at Walmart?\nOption 9: Other']"
36,"31. Are you or someone you buy groceries for on a special diet due to a medical condition (Diabetes, Celiac, etc.)?",Multiple Choice,Q38: _ Special diet
37,"32. When grocery shopping, do you compare products by looking at the nutrition label and/or ingredient list?",Multiple Choice,Q39: _ Nutrition - Yes
38,33. How much do you currently spend on groceries per month?,Number,Q40: _ Spending
39,34. Do you use SNAP or food stamp benefits to purchase groceries?,Multiple Choice,Q41: _ Use of SNAP
40,35. What is most important to you when deciding between two products?,Multiple Choice,Q42: _ Decision factor
41,36. Which of the following do you use often?,Mulitple Answer,"['Q43: _ Usage of financial tools\nOption 1: Coupons', 'Q43: _ Usage of financial tools\nOption 2: Rewards app', 'Q43: _ Usage of financial tools\nOption 3: Loyalty program or rewards card', 'Q43: _ Usage of financial tools\nOption 4: Weekly ad circulars', 'Q43: _ Usage of financial tools\nOption 5: Store branded credit cards', 'Q43: _ Usage of financial tools\nOption 6: ❌ None of the above']"
42,37. Gabor Granger: Would you go to a different store than you normally do for your shopping needs if you knew you would save [Price]?,Gabor Granger,Q44: _ Competitor price
43,38. Gabor Granger: Would you go to a more than one store for your shopping needs if you knew it would save you [Price]?,Gabor Granger,Q45: _ Savings
44,"39. I go to large grocery stores, where I can buy everything in one place.",Likert - Multiple Answer,"['Q47: _ How often do you...\nRow 3: When deciding between two products, I often choose the less  expensive one.\nColumn 1: None of the time', 'Q47: _ How often do you...\nRow 3: When deciding between two products, I often choose the less  expensive one.\nColumn 2: Rarely', 'Q47: _ How often do you...\nRow 3: When deciding between two products, I often choose the less  expensive one.\nColumn 3: Some of the time', 'Q47: _ How often do you...\nRow 3: When deciding between two products, I often choose the less  expensive one.\nColumn 4: Often', 'Q47: _ How often do you...\nRow 3: When deciding between two products, I often choose the less  expensive one.\nColumn 5: All of the time']"
45,"40. When deciding between two products, I often choose the less expensive one.",Likert - Multiple Answer,"['Q47: _ How often do you...\nRow 1: I buy frozen meals.\nColumn 1: None of the time', 'Q47: _ How often do you...\nRow 1: I buy frozen meals.\nColumn 2: Rarely', 'Q47: _ How often do you...\nRow 1: I buy frozen meals.\nColumn 3: Some of the time', 'Q47: _ How often do you...\nRow 1: I buy frozen meals.\nColumn 4: Often', 'Q47: _ How often do you...\nRow 1: I buy frozen meals.\nColumn 5: All of the time']"
46,41. Likert: I buy frozen meals.,Likert - Multiple Answer,"['Q47: _ How often do you...\nRow 2: I go to large grocery stores, where I can buy everything in one place.\nColumn 1: None of the time', 'Q47: _ How often do you...\nRow 2: I go to large grocery stores, where I can buy everything in one place.\nColumn 2: Rarely', 'Q47: _ How often do you...\nRow 2: I go to large grocery stores, where I can buy everything in one place.\nColumn 3: Some of the time', 'Q47: _ How often do you...\nRow 2: I go to large grocery stores, where I can buy everything in one place.\nColumn 4: Often', 'Q47: _ How often do you...\nRow 2: I go to large grocery stores, where I can buy everything in one place.\nColumn 5: All of the time']"
47,42. Likert: I buy in bulk.,Likert - Multiple Answer,"['Q47: _ How often do you...\nRow 4: I buy in bulk.\nColumn 1: None of the time', 'Q47: _ How often do you...\nRow 4: I buy in bulk.\nColumn 2: Rarely', 'Q47: _ How often do you...\nRow 4: I buy in bulk.\nColumn 3: Some of the time', 'Q47: _ How often do you...\nRow 4: I buy in bulk.\nColumn 4: Often', 'Q47: _ How often do you...\nRow 4: I buy in bulk.\nColumn 5: All of the time']"
48,43. Likert: I buy food from fresh bars and deli counters in stores.,Likert - Multiple Answer,"['Q47: _ How often do you...\nRow 5: I buy food from fresh bars and deli counters in stores.\nColumn 1: None of the time', 'Q47: _ How often do you...\nRow 5: I buy food from fresh bars and deli counters in stores.\nColumn 2: Rarely', 'Q47: _ How often do you...\nRow 5: I buy food from fresh bars and deli counters in stores.\nColumn 3: Some of the time', 'Q47: _ How often do you...\nRow 5: I buy food from fresh bars and deli counters in stores.\nColumn 4: Often', 'Q47: _ How often do you...\nRow 5: I buy food from fresh bars and deli counters in stores.\nColumn 5: All of the time']"
49,44. Likert: I buy brand name products.,Likert - Multiple Answer,"['Q48: _ How often do you...\nRow 1: I buy brand name products.\nColumn 1: None of the time', 'Q48: _ How often do you...\nRow 1: I buy brand name products.\nColumn 2: Rarely', 'Q48: _ How often do you...\nRow 1: I buy brand name products.\nColumn 3: Some of the time', 'Q48: _ How often do you...\nRow 1: I buy brand name products.\nColumn 4: Often', 'Q48: _ How often do you...\nRow 1: I buy brand name products.\nColumn 5: All of the time']"
50,45. Likert: I try to buy produce that is in season.,Likert - Multiple Answer,"['Q48: _ How often do you...\nRow 2: I try to buy produce that is in season.\nColumn 1: None of the time', 'Q48: _ How often do you...\nRow 2: I try to buy produce that is in season.\nColumn 2: Rarely', 'Q48: _ How often do you...\nRow 2: I try to buy produce that is in season.\nColumn 3: Some of the time', 'Q48: _ How often do you...\nRow 2: I try to buy produce that is in season.\nColumn 4: Often', 'Q48: _ How often do you...\nRow 2: I try to buy produce that is in season.\nColumn 5: All of the time']"
51,"46. Likert: When grocery shopping, the items I am looking for are unavailable or out of stock.",Likert - Multiple Answer,"['Q48: _ How often do you...\nRow 3: When grocery shopping, the items I am looking for are unavailable or out of stock.\nColumn 1: None of the time', 'Q48: _ How often do you...\nRow 3: When grocery shopping, the items I am looking for are unavailable or out of stock.\nColumn 2: Rarely', 'Q48: _ How often do you...\nRow 3: When grocery shopping, the items I am looking for are unavailable or out of stock.\nColumn 3: Some of the time', 'Q48: _ How often do you...\nRow 3: When grocery shopping, the items I am looking for are unavailable or out of stock.\nColumn 4: Often', 'Q48: _ How often do you...\nRow 3: When grocery shopping, the items I am looking for are unavailable or out of stock.\nColumn 5: All of the time']"
52,47. Likert: I buy store brand products to save money.,Likert - Multiple Answer,"['Q48: _ How often do you...\nRow 4: I buy store brand products to save money.\nColumn 1: None of the time', 'Q48: _ How often do you...\nRow 4: I buy store brand products to save money.\nColumn 2: Rarely', 'Q48: _ How often do you...\nRow 4: I buy store brand products to save money.\nColumn 3: Some of the time', 'Q48: _ How often do you...\nRow 4: I buy store brand products to save money.\nColumn 4: Often', 'Q48: _ How often do you...\nRow 4: I buy store brand products to save money.\nColumn 5: All of the time']"
53,48. What frustrates you about grocery shopping?,Open Ended,Q49: _ Frustrations
54,49. Likert: I find it stressful to plan out what I and/or my family is going to eat.,Likert - Multiple Answer,"['Q50: Stress-related likert questions\nRow 1: I find it stressful to plan out what I and/or my family is going to eat.\nColumn 1: Strongly disagree', 'Q50: Stress-related likert questions\nRow 1: I find it stressful to plan out what I and/or my family is going to eat.\nColumn 2: Disagree', 'Q50: Stress-related likert questions\nRow 1: I find it stressful to plan out what I and/or my family is going to eat.\nColumn 3: Neutral', 'Q50: Stress-related likert questions\nRow 1: I find it stressful to plan out what I and/or my family is going to eat.\nColumn 4: Agree', 'Q50: Stress-related likert questions\nRow 1: I find it stressful to plan out what I and/or my family is going to eat.\nColumn 5: Strongly Agree']"
55,50. Likert: I worry about how I am going to pay for groceries.,Likert - Multiple Answer,"['Q50: Stress-related likert questions\nRow 2: I worry about how I am going to pay for groceries.\nColumn 1: Strongly disagree', 'Q50: Stress-related likert questions\nRow 2: I worry about how I am going to pay for groceries.\nColumn 2: Disagree', 'Q50: Stress-related likert questions\nRow 2: I worry about how I am going to pay for groceries.\nColumn 3: Neutral', 'Q50: Stress-related likert questions\nRow 2: I worry about how I am going to pay for groceries.\nColumn 4: Agree', 'Q50: Stress-related likert questions\nRow 2: I worry about how I am going to pay for groceries.\nColumn 5: Strongly Agree']"
56,51. Likert: I am concerned about the rising cost of groceries.,Likert - Multiple Answer,"['Q50: Stress-related likert questions\nRow 3: I am concerned about the rising cost of groceries.\nColumn 1: Strongly disagree', 'Q50: Stress-related likert questions\nRow 3: I am concerned about the rising cost of groceries.\nColumn 2: Disagree', 'Q50: Stress-related likert questions\nRow 3: I am concerned about the rising cost of groceries.\nColumn 3: Neutral', 'Q50: Stress-related likert questions\nRow 3: I am concerned about the rising cost of groceries.\nColumn 4: Agree', 'Q50: Stress-related likert questions\nRow 3: I am concerned about the rising cost of groceries.\nColumn 5: Strongly Agree']"
57,52. Likert: Inflation has impacted how I grocery shop.,Likert - Multiple Answer,"['Q50: Stress-related likert questions\nRow 4: Inflation has impacted how I grocery shop.\nColumn 1: Strongly disagree', 'Q50: Stress-related likert questions\nRow 4: Inflation has impacted how I grocery shop.\nColumn 2: Disagree', 'Q50: Stress-related likert questions\nRow 4: Inflation has impacted how I grocery shop.\nColumn 3: Neutral', 'Q50: Stress-related likert questions\nRow 4: Inflation has impacted how I grocery shop.\nColumn 4: Agree', 'Q50: Stress-related likert questions\nRow 4: Inflation has impacted how I grocery shop.\nColumn 5: Strongly Agree']"
58,53. How many prescription drugs do you take on a regular basis?,Number,Q53: _ Number of prescription drugs
59,54. How many people in your household take prescription drugs on a regular basis?,Number,Q54: _ Drug use in household
60,55. Are you responsible for picking up anyone else's prescription drugs aside from yourself?,Multiple Choice,Q56: _ Responsible for others
61,56. Who do you pick up prescription drugs for?,Multiple Answer,"['Q57: _ Who do you pick up prescription drugs for?\nOption 1: Partner or spouse', 'Q57: _ Who do you pick up prescription drugs for?\nOption 2: Child or children', 'Q57: _ Who do you pick up prescription drugs for?\nOption 3: Other family members', 'Q57: _ Who do you pick up prescription drugs for?\nOption 4: Friend or neighbor', 'Q57: _ Who do you pick up prescription drugs for?\nOption 5: Roommate', 'Q57: _ Who do you pick up prescription drugs for?\nOption 6: Other']"
62,57. How much does your household spend on prescription drugs per month?,Number,Q58: _ Drug spend
63,58. Where does your household fill prescriptions most often?,Multiple Choice,Q59: _ Pharmacy source
64,59. Do you try to do your grocery shopping and pick up prescription drugs in the same trip?,Multiple Choice,Q60: _ Pharmacy
65,60. Gabor Granger: Would you switch to online delivery for your prescription drugs if you knew it would save you [Price]?,Gabor Granger,Q61: _ Switcher price
66,61. Likert: How often do you forget to refill your prescriptions on time?,Likert,Q62: _ Frequency of forgetting to refill prescriptions
67,62. Likert: The price of prescription drugs is too high.,Likert,Q63: _ Pricing
